стимул,лемма,частота,часть речи стимула,часть речи ассоциации,st_arousal,st_dominance,st_valence,st_abstract,ass_arousal,ass_dominance,ass_valence,ass_abstract,RuWordNet,общая ЛСГ,FB_точные примеры,Dice Score,Delta P,PMI,Wu Palmer,косинусное сходство_Sentence‑BERT,тип связи;;
автомобиль,машина,63,S,S,3.103448275862069,2.96551724137931,4.029999999999999,1.511627906976744,3.1,3.166666666666667,3.802325581395345,2.225,синоним,предметные имена: транспорт, ,0.1444270015698587,0.1863549838805554,6.888507697763717,1.0,0.8451719284057617,парадигматический;;
автомобиль,дорога,22,S,S,3.103448275862069,2.96551724137931,4.029999999999999,1.511627906976744,3.941176470588236,3.470588235294118,4.008928571428569,2.5,, , ,0.03413498836307215,0.04332586119158859,4.797035511531233,0.2857142857142857,0.6260409951210022,тематический;;
автомобиль,ехать,10,S,V,3.103448275862069,2.96551724137931,4.029999999999999,1.511627906976744,3.066666666666667,3.233333333333333,3.701923076923075,2.032258064516129,, , ,0.03241895261845387,0.02592564789530545,5.394693085100756,0.0,0.5064373016357422,синтагматический;;
автомобиль,красный,10,S,A,3.103448275862069,2.96551724137931,4.029999999999999,1.511627906976744,3.676470588235294,3.617647058823529,3.43478260869565,2.2388456,, , ,0.0212577502214349,0.02322119174714827,4.244945965596074,0.0,0.3815228343009949,синтагматический;;
автомобиль,движение,6,S,S,3.103448275862069,2.96551724137931,4.029999999999999,1.511627906976744,3.6551724137931,3.896551724137931,4.468085106382976,2.60377358490566,прочая связь, , ,0.01827676240208877,0.01374144870029494,4.678486051101348,0.0,0.5850523114204407,тематический;;
автомобиль,новый,6,S,A,3.103448275862069,2.96551724137931,4.029999999999999,1.511627906976744,3.666666666666667,4.272727272727272,4.209302325581395,2.9,, , ,0.0124913254684247,0.01646140574373824,3.256279056403661,0.0,0.4514585137367249,синтагматический;;
автомобиль,быстрый,5,S,A,3.103448275862069,2.96551724137931,4.029999999999999,1.511627906976744,4.303030303030303,3.909090909090909,3.83,2.633333333333333,, , ,0.02753441802252816,0.02184603853438333,5.167624176554835,0.0,0.5293751358985901,синтагматический;;
автомобиль,дорогой,3,S,A,3.103448275862069,2.96551724137931,4.029999999999999,1.511627906976744,3.733333333333333,3.8,3.55813953488372,2.765135,, , ,0.05329593267882188,0.03836275860770413,6.426683199345193,0.0,0.4297542572021484,синтагматический;;
автомобиль,черный,3,S,A,3.103448275862069,2.96551724137931,4.029999999999999,1.511627906976744,2.966666666666667,2.733333333333333,2.95454545454545,2.126345,, , ,0.01637107776261937,0.0117653777222157,4.639805582937288,0.0,0.4284116625785828,синтагматический;;
