лемма,количество стимулов,список стимулов
человек,608,"автор, активный, американский, армия, бабушка, бедный, белый, билет, бить, ближайший, близкий, богатый, боевой, божий, больной, больший, большинство, большой, борьба, бояться, брат, будущий, бывший, быстрый, быть, важный, ведущий, великий, вера, верить, верный, верхний, веселый, вечный, видеть, виноватый, власть, внимание, военный, воздушный, возможность, возникать, возникнуть, возраст, война, волос, вооруженный, восточный, впечатление, врач, вспоминать, вспомнить, встретить, встретиться, встреча, встречать, встречаться, выбрать, вызвать, вызывать, вырасти, высокий, высший, выход, генерал, герой, главный, глаз, глубокий, глупый, глядеть, голова, голос, голубой, голый, горный, город, городской, горячий, господин, гость, государственный, государство, готовый, гражданин, гражданский, группа, грязный, губа, давать, данные, дать, девочка, девушка, действие, дело, деловой, денежный, деревня, дерево, деревянный, дешевый, деятельность, дикий, директор, длинный, добрый, довольный, доктор, дом, домашний, дополнительный, дорогой, достать, достойный, дочь, древний, друг, дух, духовный, дядя, еврейский, европейский, единственный, единый, естественный, ждать, железный, жена, женщина, жесткий, живой, жизнь, жить, забыть, зависеть, завод, закон, закрытый, зал, заметить, замечательный, замечать, занимать, занять, западный, записать, заставить, защита, заявить, звать, звонить, здоровый, здоровье, зеленый, земля, земной, злой, знакомый, знаменитый, значительный, золотой, зрение, известный, изменение, изменить, измениться, иметь, имя, индивидуальный, иностранный, интересный, информационный, искать, искусство, исполнительный, использование, использовать, исследование, истинный, исторический, история, казаться, каменный, касаться, качество, кивнуть, класс, книжка, количество, команда, коммерческий, компания, конечный, конкретный, короткий, космический, крайний, красивый, крепкий, крикнуть, крупный, культура, культурный, левый, легкий, лесной, литературный, лицо, лишний, лучший, любимый, любить, любовь, люди, маленький, малый, мальчик, мама, массовый, мастер, материальный, мать, международный, мелкий, меньший, мера, мертвый, местный, метод, мечта, мешать, миллион, милый, министр, мир, мировой, мнение, многочисленный, модель, молодой, молчать, морской, московский, мощный, муж, мужчина, музыкальный, мысль, мягкий, надежда, надеяться, назвать, назначить, называть, найти, напоминать, направить, народ, народный, население, настоящий, наука, научный, находиться, национальный, начальник, небольшой, невозможный, неизвестный, необходимый, неожиданный, несчастный, низкий, новый, нормальный, нравиться, нужный, обеспечить, обещать, обладать, обнаружить, образ, обратить, обратиться, обращаться, общественный, общество, общий, объект, объявить, объяснить, объяснять, обычный, обязанный, обязательный, огромный, одинаковый, оказаться, оказываться, опасный, определенный, опыт, опытный, орган, организация, основной, особый, оставаться, оставить, остаться, ответить, отвечать, отдельный, отец, отечественный, открытый, отличный, отметить, относиться, отношение, официальный, очередь, память, папа, пара, парень, партийный, партия, писатель, плечо, плохой, площадь, поверить, погибнуть, поговорить, поднять, подойти, позволить, позволять, позвонить, позиция, показать, показаться, покупать, пол, полезный, политика, политический, полный, половина, положение, положительный, помогать, помочь, помощь, понимать, понравиться, понять, попросить, посвятить, последний, последующий, послушать, поставить, постоянный, поступить, потерять, похожий, почувствовать, появиться, появляться, правда, правильный, правительство, право, правовой, православный, правый, предприятие, председатель, представить, представление, предыдущий, президент, прекрасный, привезти, привести, приводить, привыкнуть, привычный, пригласить, признать, прийти, принцип, принять, природа, приходиться, приятный, проблема, провести, производственный, промышленный, просить, простить, простой, пространство, профессиональный, проходить, процент, прошлый, прямой, психологический, пустой, путь, пьяный, рабочий, равный, рад, развитие, разговаривать, разговор, различный, разный, ранний, расположить, рассматривать, реальный, ребенок, ребята, регион, региональный, редкий, резкий, религиозный, речь, рисунок, род, родитель, родиться, родной, роль, роман, российский, рост, рука, руководитель, руководство, русский, рынок, ряд, самолет, светлый, свобода, свободный, связанный, связать, связь, святой, северный, сельский, семейный, семья, сердце, серый, сила, сильный, синий, система, скорый, слабый, слава, следующий, слово, сложный, случайный, слушать, слышать, смерть, смешной, собрать, собственный, совет, советский, совместный, современный, согласиться, согласный, содержать, создавать, создание, создать, сознание, солдат, солнечный, соседний, состав, состояние, состояться, социальный, союз, спасти, специалист, спина, спокойный, спортивный, способный, спрашивать, спросить, средний, становиться, старик, старый, стать, стена, стоять, страшный, строгий, структура, студент, суд, судить, судьба, сухой, существенный, существовать, счастливый, счастье, считать, считаться, сын, тайный, твердый, творческий, театральный, тело, темный, теплый, территория, тип, тихий, толстый, тонкий, точный, традиционный, транспортный, труд, трудный, трудовой, тяжелый, убить, уверенный, увидеть, уголовный, удивительный, удивиться, удобный, узкий, узнавать, узнать, уйти, улица, улыбаться, улыбнуться, ум, умный, управление, услышать, устроить, участник, учебный, учительница, учить, факт, фамилия, физический, финансовый, характер, хватать, хозяин, холодный, хороший, художественный, художник, цель, ценный, центр, центральный, церковь, частный, человек, человеческий, черный, честный, число, чистый, чувствовать, чужой, широкий, экономический, эффективный, южный, юный, юридический, являться, язык, яркий, ясный"
дом,413,"американский, бабушка, бедный, белый, билет, ближайший, богатый, божий, больной, больший, большой, брат, будущий, бывший, быть, вернуться, верхний, вечер, вечный, вещь, взять, видеть, висеть, власть, возвращаться, воздушный, возможный, войти, восточный, вспоминать, встретить, встретиться, встреча, встречать, встречаться, входить, выбрать, выйти, вырасти, высокий, выступать, выход, выходить, генеральный, герой, глава, главный, глубокий, говорить, голубой, голый, гореть, горный, город, городской, господин, гость, государственный, готовить, готовый, граница, грязный, гулять, дверь, двор, девочка, денежный, деревня, дерево, деревянный, держать, детский, дешевый, договориться, дойти, дом, домашний, дорога, дорогой, достойный, древний, духовный, дядя, еврейский, европейский, единственный, есть, ехать, ждать, жена, женщина, живой, жизнь, жить, забыть, зависеть, завод, зайти, закрытый, закрыть, зал, замечательный, заниматься, зарубежный, защита, звать, зеленый, земля, земной, золотой, играть, идти, измениться, иметь, искать, кабинет, каменный, квартира, кино, китайский, коммерческий, комната, конкретный, крайний, красивый, красный, крепкий, круглый, крупный, культура, культурный, купить, левый, лежать, лес, лесной, личный, лишний, лучший, любимый, любить, магазин, маленький, малый, мама, материальный, мать, медицинский, мелкий, мертвый, местный, место, мечта, миллион, милый, мир, мировой, многочисленный, момент, московский, мощный, муж, музыка, музыкальный, надежда, название, найти, народный, настоящий, находиться, небольшой, невозможный, несчастный, низкий, новый, номер, нормальный, нужный, обеспечить, обладать, областной, обнаружить, общественный, общий, объект, обычный, обязанный, огромный, одинаковый, ожидать, оказаться, оказываться, окно, опасный, операция, определенный, определить, основа, основной, оставаться, оставить, оставлять, остановиться, остаться, отдельный, отец, открывать, открытый, открыть, отличный, относиться, отправиться, папа, передний, петь, план, плохой, площадь, поговорить, подать, поднять, подойти, поехать, позвонить, поздний, пойти, показать, показывать, покупать, пол, поле, полный, половина, положение, положить, получиться, помнить, попасть, пора, порядок, последний, посмотреть, постоянный, построить, потерять, похожий, появиться, появляться, правовой, православный, правый, практический, предмет, предприятие, председатель, представить, предыдущий, президент, прекрасный, привезти, привести, приводить, привыкнуть, привычный, пригласить, приезжать, приехать, прийти, принести, природа, природный, приходить, приятный, проводить, проект, промышленный, простой, пространство, проходить, прошлый, прямой, пустой, путь, работа, работать, рабочий, равный, радость, размер, разный, район, расположить, реальный, ребенок, регион, региональный, редкий, рисунок, родитель, родиться, родной, российский, рука, ряд, садиться, светлый, сдавать, сельский, семейный, семья, серый, сидеть, синий, следующий, слово, сложный, служить, случайный, случиться, снимать, снять, собака, собираться, собрать, собраться, собственный, событие, советский, совместный, современный, содержать, создать, сон, соседний, социальный, союз, спать, спектакль, спокойный, спортивный, ставить, становиться, старый, статья, стена, стоить, стол, сторона, страна, страшный, строить, структура, суббота, судебный, судить, сухой, существенный, счастливый, счастье, сын, тайный, театр, театральный, темный, теплый, территория, технический, тип, тихий, тонкий, торговый, транспортный, увидеть, угол, уголовный, удивиться, удобный, уезжать, уехать, уйти, указать, улица, умереть, умный, упасть, управление, уходить, участок, учиться, фильм, хлеб, хозяин, холодный, хороший, художественный, целый, центр, центральный, частный, частый, черный, число, чистый, чужой, широкий, школа, школьный, южный, юридический, явиться, являться, японский, яркий"
мир,301,"административный, английский, армия, бабушка, бедный, ближайший, бог, богатый, больший, большой, борьба, будущий, ведущий, вера, верхний, веселый, вечный, взгляд, видеть, власть, внешний, внутренний, воздушный, война, войти, восточный, временной, выбрать, выглядеть, выйти, герой, глаз, глубокий, глядеть, год, голос, голубой, городской, господин, государство, гражданин, граница, грязный, деловой, деньги, держаться, детский, дешевый, деятельность, дикий, добрый, договориться, достойный, древний, дух, духовный, еврейский, европейский, единственный, единый, естественный, есть, желать, женщина, живой, жизнь, жить, закрытый, замечательный, замечать, западный, зарубежный, защита, заявить, здоровый, здоровье, зеленый, земля, земной, знание, значение, значительный, идти, изменение, изменить, информационный, информация, использование, исследование, истинный, исторический, история, исчезнуть, каменный, картина, кино, китайский, классический, книжка, команда, конец, кончиться, космический, край, круглый, культура, культурный, лес, литература, литературный, лучший, любить, любовь, люди, маленький, малый, материальный, международный, меньший, мир, мировой, молодой, морской, московский, мужской, музыкальный, наблюдать, найти, народ, население, настоящий, наука, научный, национальный, небольшой, невозможный, неизвестный, необходимый, нести, нижний, новый, нормальный, обладать, областной, область, общество, общий, объявить, объяснять, обязанный, обязательный, огромный, одинаковый, ожидать, окно, окружающий, опасный, определенный, определить, основа, отдельный, отечественный, открывать, открытый, открыть, партия, площадь, погибнуть, показать, показаться, показывать, политика, политический, положительный, понять, попасть, порядок, посвятить, последний, посмотреть, построить, почувствовать, появиться, появляться, правда, православный, практический, предлагать, представить, представление, президент, прекрасный, привести, привычный, принести, принять, природа, проект, простить, пространство, профессиональный, психологический, путь, развитие, различный, разный, разработать, рассматривать, реальный, регион, региональный, религиозный, родитель, родиться, российский, русский, светлый, свобода, свободный, связанный, северный, семья, сердце, система, следующий, слово, смерть, собственный, советский, совместный, современный, согласиться, согласный, содержать, создавать, создание, создать, сознание, солнце, сообщить, соседний, состоять, социальный, союз, спасти, спокойный, сторона, страна, страшный, стремиться, строгий, структура, суд, судить, существенный, существовать, счастье, тайный, творческий, театральный, темный, теплый, территория, точка, традиционный, транспортный, труд, увидеть, удивительный, удивиться, уехать, узнавать, узнать, улица, улыбаться, улыбнуться, управление, устроить, физический, финансовый, фирма, хозяин, хороший, художественный, целый, центр, центральный, человек, человеческий, черный, честный, чистый, читать, экономика, экономический, электронный, эффективный, юридический, явиться, являться, японский"
жизнь,279,"активный, анализ, армия, бог, божий, борьба, бояться, брать, будущий, быть, вариант, век, вера, верить, вечный, взгляд, вздохнуть, видеть, вода, воздух, возникнуть, возраст, вопрос, впечатление, врач, время, вспоминать, вспомнить, глава, год, город, государство, давать, дать, двигаться, движение, действие, действовать, делать, дело, деньги, дерево, держаться, деятельность, довольный, доктор, дом, дорога, думать, дух, духовный, естественный, есть, желание, женщина, живой, жизненный, жизнь, жить, забыть, закон, закончить, замечательный, защита, здоровый, здоровье, земля, земной, знание, значение, значить, игра, играть, идея, изменение, изменить, измениться, иметь, институт, интерес, интернет, искусство, использование, исследование, история, исчезнуть, казаться, картина, касаться, качество, квартира, кино, книга, конец, кончать, кончиться, край, кровь, культура, курс, лес, лесной, линия, литература, личный, любить, любовь, люди, мальчик, мама, мать, мера, мертвый, место, мечта, миллион, мир, момент, музыка, надежда, найти, настоящий, наука, начало, начаться, начинаться, необходимый, неожиданный, нравиться, обеспечить, обещать, образ, объем, обязанный, огонь, одинаковый, ожидать, окружающий, операция, определить, опыт, орган, основа, остаться, отдать, отец, отношение, оценка, память, период, песня, погибнуть, подумать, позиция, показать, показывать, покупать, политика, половина, положить, помнить, понимать, понять, попробовать, порядок, посвятить, построить, почувствовать, появиться, появляться, правда, правило, право, праздник, представление, предусмотреть, президент, привыкнуть, привычный, пример, принцип, природа, причина, проблема, программа, продолжать, проект, происходить, процесс, прошлый, путь, работа, рад, радость, развитие, район, расположить, расти, реальный, ребенок, регион, родиться, роль, руководство, свобода, связанный, связать, сдавать, семья, сердце, система, ситуация, сложиться, сложный, случай, случиться, смерть, смысл, событие, совет, совместный, создавать, создание, создать, сознание, солнце, состояние, состояться, сохранить, спасти, срок, становиться, старик, старый, стоить, сторона, страна, строить, судьба, существовать, сцена, счастливый, счастье, театр, тело, территория, течение, требование, труд, трудный, тяжелый, убить, увидеть, удасться, удивительный, удивиться, улыбаться, улыбнуться, умереть, уровень, условие, успеть, успех, устроить, учить, учиться, факт, форма, хлеб, хозяин, цель, цена, часть, человек, чистый, чувствовать, школа, школьный, яркий"
день,276,"административный, активный, бедный, белый, ближайший, божий, большой, будущий, бывший, быстрый, важный, великий, веселый, вести, вечер, вечный, возможность, вопрос, временной, время, вспоминать, вспомнить, встретить, встречать, встречаться, выбрать, выходить, генеральный, герой, главный, год, грязный, гулять, дело, денежный, длинный, добрый, долгий, дополнительный, духовный, еврейский, единственный, единый, естественный, ждать, женский, жесткий, забыть, зависеть, закончить, замечательный, звонить, зеленый, земной, знаменитый, значительный, изменение, изменить, индивидуальный, интересный, информационный, информация, использовать, исследование, истинный, исторический, количество, коммерческий, конец, конкретный, кончать, кончиться, короткий, космический, крайний, красивый, красный, круглый, культурный, легкий, лежать, лесной, летний, лишний, лучший, любимый, малый, материальный, международный, меньший, месяц, милый, многочисленный, мокрый, момент, мочь, мощный, мужской, музыкальный, мысль, назвать, назначить, налоговый, напоминать, народный, настоящий, научный, национальный, начало, начать, начаться, начинаться, небо, небольшой, невозможный, неделя, необходимый, неожиданный, несчастный, новый, нормальный, ночной, ночь, нужный, образ, обычный, обязательный, огромный, одинаковый, опасный, определенный, основа, особый, отдельный, отечественный, открытый, отличный, отметить, официальный, память, пара, передний, песня, плакать, план, плохой, поздний, полезный, полный, половина, положение, помнить, порядок, посвятить, последний, последующий, постоянный, похожий, поэт, появиться, правило, правильный, правовой, православный, праздник, практический, представить, предыдущий, прекрасный, привезти, привыкнуть, привычный, пригласить, принцип, приятный, проблема, провести, проводить, программа, проект, производственный, промышленный, простой, прошлый, работа, работать, рабочий, равный, различный, разный, разработать, ранний, реальный, река, религиозный, родиться, свет, светлый, свободный, связанный, святой, сделать, сегодняшний, семейный, серый, система, скорый, следующий, слово, сложный, случайный, случиться, собственный, событие, совет, совместный, солнечный, солнце, сон, спасти, спать, спокойный, спортивный, срок, старик, страшный, структура, суббота, суд, судебный, сухой, существенный, существовать, счастливый, счет, считать, творческий, театральный, тема, темный, теплый, течение, тихий, товарищ, толстый, точный, традиционный, трудный, трудовой, тяжелый, удивительный, удобный, улыбаться, улыбнуться, утро, учебный, учиться, факт, физический, хозяин, холодный, хороший, художественный, целый, цель, ценный, час, черный, число, школьный, экономика, экономический, эффективный, южный, яркий, ясный"
работа,270,"автомобиль, автор, активный, анализ, армия, банк, вариант, военный, возможность, врач, временной, выбрать, выполнить, выполнять, выход, выходить, генерал, глава, гореть, государственный, государство, готовить, граница, дверь, действие, действовать, делать, дело, деловой, денежный, день, деньги, деятельность, директор, договор, договориться, дойти, документ, дом, домашний, дополнительный, ездить, забыть, зависеть, завод, задача, закон, закончить, занимать, заниматься, занятие, занять, заставить, звать, звонить, здоровье, значение, игра, идти, изменение, изменить, измениться, иметь, интерес, интернет, искать, искусство, исполнительный, использование, использовать, испытывать, исследование, кабинет, качество, книжка, команда, компания, кончать, кончиться, кровь, любить, люди, мастер, материал, мать, место, месяц, метод, мешать, министр, модель, муж, мужчина, название, назначить, найти, направление, находить, начало, начальник, начать, начаться, начинаться, неделя, нести, нравиться, обеспечить, область, объект, объем, объяснять, обычный, обязанный, обязательный, операция, опыт, опытный, орган, организация, основа, основной, оставить, оставлять, отец, отказаться, отношение, официальный, оценка, папа, пара, парень, передавать, перестать, период, писатель, писать, план, поверить, подойти, позвонить, позиция, показать, показывать, полезный, политика, полный, половина, положительный, получаться, получить, получиться, помощь, понимать, порядок, посвятить, постоянный, построить, потерять, правило, практический, предлагать, предмет, предприятие, председатель, представить, привести, привыкнуть, приезжать, приехать, прийти, пример, принимать, принцип, прислать, приходить, приходиться, причина, проблема, провести, программа, продолжать, проект, производственный, производство, простой, профессиональный, проходить, процент, процесс, работа, работать, рабочий, разработать, рассказывать, рассматривать, расти, результат, рисунок, рука, руководитель, руководство, садиться, связь, сдавать, сделать, сидеть, система, следовать, служба, служить, собираться, собраться, совместный, создание, создать, солдат, составлять, состояться, сохранить, спать, специалист, срок, стараться, стать, стол, стоять, структура, студент, суббота, сын, текст, телефон, тема, технический, товарищ, торговый, требование, требовать, труд, трудовой, удасться, уехать, уйти, уметь, управление, условие, успеть, успех, устроить, утро, уходить, участвовать, участие, участок, учительница, учиться, фирма, форма, хватать, ход, ходить, хотеть, художник, цель, час, школа, экзамен, эффективный, явиться, язык"
хороший,266,"автомобиль, автор, английский, армия, бабушка, билет, больший, брат, быть, важный, вариант, ведущий, вера, верить, верный, верховный, вести, вечер, вещь, вид, видеть, власть, внимание, возможность, вопрос, впечатление, врач, вспоминать, вспомнить, встречать, выбрать, вырасти, высший, герой, год, господин, гость, готовый, данные, дело, денежный, день, деревня, дешевый, деятельность, добрый, довольный, доктор, достойный, дочь, друг, дядя, единственный, желание, желать, женщина, живой, жизнь, замечательный, замечать, занятие, здоровый, здоровье, злой, знакомый, значение, золотой, зрение, игра, идея, измениться, интерес, интересный, информация, казаться, качество, кино, класс, классический, книжка, команда, компания, курс, литература, лишний, лучший, любимый, любовь, люди, мама, мастер, материал, мать, место, метод, милый, мир, мировой, мнение, модель, момент, муж, мужской, мужчина, музыка, мысль, надежда, надеяться, название, национальный, начало, начальник, неделя, новый, нормальный, общество, обязательный, ожидать, опыт, опытный, организация, основной, особый, оставаться, оставить, остаться, ответ, отдать, отец, отечественный, отличный, отношение, официальный, оценка, память, папа, парень, партия, песня, план, плохой, повод, позиция, показать, показаться, полезный, политика, положение, положительный, получаться, получиться, помочь, помощь, понравиться, поэт, правда, правильный, правительство, праздник, практический, предприятие, представление, президент, прекрасный, пример, природа, природный, приятный, проект, простить, простой, профессиональный, работа, рабочий, разговор, район, ребенок, ребята, регион, результат, речь, рисунок, родитель, родной, роман, рост, руководитель, руководство, свежий, свет, связь, святой, сегодняшний, семейный, семья, ситуация, слово, случай, случайный, случиться, событие, совет, советский, создание, сознание, солдат, сон, состав, состояние, спасти, спектакль, специалист, способ, спрашивать, средний, становиться, старый, стать, статья, стихи, сторона, стремиться, строгий, студент, судьба, считать, считаться, сын, телефон, тема, темный, товарищ, требование, требовать, труд, уверенный, удивительный, узнавать, ум, умный, условие, участок, учительница, факт, федерация, фильм, фирма, характер, ход, хозяин, хороший, хотеть, художник, цель, цена, ценный, центральный, церковь, частый, человек, черный, честный, школа, эффективный, являться, ясный"
друг,262,"бабушка, ближайший, близкий, бог, богатый, боевой, больной, брат, будущий, бывший, важный, вариант, верить, верный, веселый, вечный, видеть, виноватый, возможный, восточный, вспомнить, встретить, встретиться, встреча, встречать, встречаться, выбрать, вызвать, высокий, глупый, голос, голый, гость, гражданин, группа, гулять, дальний, двор, девушка, деревня, держаться, добрый, довольный, дорогой, достойный, друг, духовный, дядя, еврейский, единственный, естественный, есть, ждать, жена, заметить, замечательный, зарубежный, звать, звонить, злой, знакомый, знаменитый, значение, играть, идея, известный, иметь, иностранный, интересный, искать, исполнительный, использовать, истинный, история, касаться, квартира, кивнуть, кино, китайский, книжка, количество, команда, компания, космический, крайний, крепкий, крикнуть, круг, крупный, личный, лишний, лучший, любимый, любить, любовь, люди, маленький, малый, мать, мелкий, меньший, мертвый, местный, мешать, милый, море, московский, муж, назвать, называть, найти, написать, напоминать, настоящий, находить, начальник, небольшой, неизвестный, немецкий, необходимый, несчастный, новый, нормальный, нравиться, нужный, обещать, обратиться, обращаться, общество, общий, объяснить, объяснять, обычный, обязанный, обязательный, одинаковый, ожидать, опасный, определить, оставаться, остаться, ответ, ответить, отдать, отличный, отметить, отношение, папа, пара, парень, передавать, передать, письмо, плечо, плохой, поверить, поговорить, позвонить, показать, полезный, половина, помогать, помочь, помощь, понимать, понравиться, понять, попросить, последний, послушать, постоянный, потерять, похожий, правильный, предприятие, представить, предыдущий, прекрасный, привезти, привести, приводить, пригласить, приходиться, приятный, провести, проводить, просить, простить, простой, прошлый, пьяный, равный, разговаривать, разговор, рассказать, рассказывать, реальный, ребенок, ребята, родитель, родной, руководитель, русский, светлый, сдавать, семья, сильный, служба, случайный, слышать, смешной, смеяться, собака, собираться, собрать, собраться, совет, согласный, содержать, сообщить, соседний, социальный, союз, спасти, спокойный, спортивный, способный, спрашивать, спросить, старый, стать, сторона, суббота, счастливый, считаться, сын, тайный, тема, тип, товарищ, толстый, убить, увидеть, удивительный, удобный, узнавать, узнать, улица, улыбаться, улыбнуться, умный, услышать, устроить, хозяин, хороший, ценный, человек, честный, чужой, школа, школьный, юный"
