стимул,количество связей,взвешенная степень,центральность по степени,степень посредничества,степень близости
давать,7,0.2247590424891111,0.01495726495726496,0.0002470762642068851,0.01745014245014245
брать,6,0.2012361948746801,0.01282051282051282,0.0003019821006973041,0.01745014245014245
поехать,6,0.1817840426531835,0.01282051282051282,0.0003202840461941104,0.01440991958233337
попросить,6,0.1753383778762563,0.01282051282051282,5.490583649041893e-05,0.01610782380013149
дать,6,0.177645014818841,0.01282051282051282,0.0002562272369552883,0.01610782380013149
уезжать,6,0.1710487428761285,0.01282051282051282,0.002223686377861966,0.0145533018667347
появляться,6,0.1595507632336795,0.01282051282051282,0.001098116729808379,0.01543564230131394
предприятие,6,0.1264904366368562,0.01282051282051282,0.0001098116729808379,0.01308760683760684
взять,6,0.2217347870490343,0.01282051282051282,0.0,0.01610782380013149
относиться,5,0.1053899443447326,0.01068376068376068,0.000118962645729241,0.01236263736263736
западный,5,0.1112823317249519,0.01068376068376068,0.0001464155639744505,0.01256913021618904
обращаться,5,0.1658371168170555,0.01068376068376068,0.0001647175094712568,0.01236263736263736
занять,5,0.1062852389187044,0.01068376068376068,0.0002653782097036915,0.01444149720011789
упасть,5,0.2158592270810719,0.01068376068376068,0.0002104723732132726,0.01331360946745562
спектакль,5,0.1477437143752217,0.01068376068376068,0.0006680210106334303,0.01520864756158874
приезжать,5,0.08829034208661407,0.01068376068376068,0.0009402624498984242,0.01271832032701598
религиозный,5,0.1082396519698157,0.01068376068376068,0.0003751898826845294,0.01231176231176231
билет,5,0.08963099424145193,0.01068376068376068,0.001555665367228536,0.01880341880341881
глядеть,4,0.09651346643790468,0.008547008547008548,0.0,0.008547008547008546
улыбнуться,4,0.153130149692693,0.008547008547008548,0.0009425501930855249,0.01156210938819634
быстрый,4,0.07154294792867294,0.008547008547008548,0.0005399073921557861,0.01100200036370249
восточный,4,0.0954383714134421,0.008547008547008548,0.0002470762642068851,0.01335470085470086
плечо,4,0.1023815468104927,0.008547008547008548,7.320778198722524e-05,0.009615384615384616
посмотреть,4,0.06932046236834014,0.008547008547008548,5.490583649041893e-05,0.008547008547008546
идти,4,0.09425881800358706,0.008547008547008548,0.0005124544739105767,0.0170070562512423
встретиться,4,0.1048859699161438,0.008547008547008548,0.001427551748750892,0.01751624955217769
сесть,4,0.2599074977262431,0.008547008547008548,4.575486374201577e-05,0.01081730769230769
разговаривать,4,0.1419630022051357,0.008547008547008548,0.0009517011658339281,0.01433928272163566
появиться,4,0.1445451801237811,0.008547008547008548,0.0,0.01231176231176231
поговорить,4,0.1499982839977297,0.008547008547008548,0.001628873149215762,0.01671550671550671
